Start of Interval (UTC-08:00),End of Interval (UTC-08:00),Average (in)
2020-03-01 00:00:00,2020-04-01 00:00:00,0.0003360215053763441
2020-04-01 00:00:00,2020-05-01 00:00:00,0.0006388888888888889
2020-05-01 00:00:00,2020-06-01 00:00:00,0.00038978494623655917
2020-06-01 00:00:00,2020-07-01 00:00:00,0.005083333333333333
2020-07-01 00:00:00,2020-08-01 00:00:00,0.004411366711772666
2020-08-01 00:00:00,2020-09-01 00:00:00,0.007036290322580645
2020-09-01 00:00:00,2020-10-01 00:00:00,0.0012152777777777778
2020-10-01 00:00:00,2020-11-01 00:00:00,0.0001478494623655914
2020-11-01 00:00:00,2020-12-01 00:00:00,2.777777777777778E-05
2020-12-01 00:00:00,2021-01-01 00:00:00,2.6881720430107527E-05
2021-01-01 00:00:00,2021-02-01 00:00:00,0
2021-02-01 00:00:00,2021-03-01 00:00:00,0
2021-03-01 00:00:00,2021-04-01 00:00:00,0.00010752688172043011
2021-04-01 00:00:00,2021-05-01 00:00:00,0.00016666666666666666
2021-05-01 00:00:00,2021-06-01 00:00:00,0.0013844086021505377
2021-06-01 00:00:00,2021-07-01 00:00:00,0.0015877437325905292
2021-07-01 00:00:00,2021-08-01 00:00:00,0.0022580645161290325
2021-08-01 00:00:00,2021-09-01 00:00:00,0.0036693548387096773
2021-09-01 00:00:00,2021-10-01 00:00:00,0.0012916666666666667
2021-10-01 00:00:00,2021-11-01 00:00:00,0.00036290322580645164
2021-11-01 00:00:00,2021-12-01 00:00:00,1.388888888888889E-05
2021-12-01 00:00:00,2022-01-01 00:00:00,0.0021102150537634407
2022-01-01 00:00:00,2022-02-01 00:00:00,0.0005241935483870967
2022-02-01 00:00:00,2022-03-01 00:00:00,0.0008035714285714286
2022-03-01 00:00:00,2022-04-01 00:00:00,0.00016129032258064516
2022-04-01 00:00:00,2022-05-01 00:00:00,2.777777777777778E-05
2022-05-01 00:00:00,2022-06-01 00:00:00,0.0006317204301075269
2022-06-01 00:00:00,2022-07-01 00:00:00,0.0012083333333333334
2022-07-01 00:00:00,2022-08-01 00:00:00,0.0040053763440860216
2022-08-01 00:00:00,2022-09-01 00:00:00,0.0036559139784946237
2022-09-01 00:00:00,2022-10-01 00:00:00,0.0026944444444444446
2022-10-01 00:00:00,2022-11-01 00:00:00,0.00034946236559139785
2022-11-01 00:00:00,2022-12-01 00:00:00,0.00020833333333333335
2022-12-01 00:00:00,2023-01-01 00:00:00,1.3440860215053763E-05
2023-01-01 00:00:00,2023-02-01 00:00:00,8.064516129032258E-05
2023-02-01 00:00:00,2023-03-01 00:00:00,0
2023-03-01 00:00:00,2023-04-01 00:00:00,0.00028225806451612906
2023-04-01 00:00:00,2023-05-01 00:00:00,0.0002777777777777778
2023-05-01 00:00:00,2023-06-01 00:00:00,0.0006720430107526882
2023-06-01 00:00:00,2023-07-01 00:00:00,0.0036363636363636364
2023-07-01 00:00:00,2023-08-01 00:00:00,0.0010080645161290322
2023-08-01 00:00:00,2023-09-01 00:00:00,0.002903225806451613
2023-09-01 00:00:00,2023-10-01 00:00:00,0.0025
2023-10-01 00:00:00,2023-11-01 00:00:00,0.0005645161290322581
2023-11-01 00:00:00,2023-12-01 00:00:00,6.944444444444444E-05
2023-12-01 00:00:00,2024-01-01 00:00:00,0
2024-01-01 00:00:00,2024-02-01 00:00:00,0
2024-02-01 00:00:00,2024-03-01 00:00:00,2.8735632183908045E-05
2024-03-01 00:00:00,2024-04-01 00:00:00,0.00022849462365591398
2024-04-01 00:00:00,2024-05-01 00:00:00,0.0001388888888888889
2024-05-01 00:00:00,2024-06-01 00:00:00,0.0009543010752688172
2024-06-01 00:00:00,2024-07-01 00:00:00,0.002097222222222222
2024-07-01 00:00:00,2024-08-01 00:00:00,0.002917789757412399
2024-08-01 00:00:00,2024-09-01 00:00:00,0.0032459677419354837
2024-09-01 00:00:00,2024-10-01 00:00:00,0.0024375
2024-10-01 00:00:00,2024-11-01 00:00:00,0.0012768817204301076
2024-11-01 00:00:00,2024-12-01 00:00:00,1.388888888888889E-05
2024-12-01 00:00:00,2025-01-01 00:00:00,0.0007123655913978495
2025-01-01 00:00:00,2025-02-01 00:00:00,0.0005510752688172043
2025-02-01 00:00:00,2025-03-01 00:00:00,2.9761904761904762E-05
2025-03-01 00:00:00,2025-04-01 00:00:00,0.00013440860215053763
2025-04-01 00:00:00,2025-05-01 00:00:00,0.00030555555555555555
2025-05-01 00:00:00,2025-06-01 00:00:00,0.0038440860215053765
2025-06-01 00:00:00,2025-07-01 00:00:00,0.0024305555555555556
2025-07-01 00:00:00,2025-08-01 00:00:00,0.006102150537634409
2025-08-01 00:00:00,2025-09-01 00:00:00,0.004059139784946236
2025-09-01 00:00:00,2025-10-01 00:00:00,0.0029305555555555556
2025-10-01 00:00:00,2025-11-01 00:00:00,0.0015725806451612903
2025-11-01 00:00:00,2025-12-01 00:00:00,0.000125
2025-12-01 00:00:00,2026-01-01 00:00:00,1.3440860215053763E-05
2026-01-01 00:00:00,2026-02-01 00:00:00,0
2026-02-01 00:00:00,2026-03-01 00:00:00,0
2026-03-01 00:00:00,2026-04-01 00:00:00,0.00012096774193548387
2026-04-01 00:00:00,2026-05-01 00:00:00,0.0006666666666666666
2026-05-01 00:00:00,2026-06-01 00:00:00,0.0016397849462365592
2026-06-01 00:00:00,2026-07-01 00:00:00,NaN
